,airline,airline_id,source,source_id,dest,dest_id,codeshare,stops,equipment,distance,from_to
172,2O,146,ADQ,3531,KLN,7162,,0,BNI,2.128521013470194,ADQ_KLN_2O
177,2O,146,KLN,7162,KYK,7161,,0,BNI,0.6030914575036689,KLN_KYK_2O
260,3E,10739,BRL,5726,ORD,3830,,0,CNC,1.153043939982465,BRL_ORD_3E
261,3E,10739,BRL,5726,STL,3678,,0,CNC,1.6093243966706878,BRL_STL_3E
262,3E,10739,DEC,4042,ORD,3830,,0,CNC,11.13869269275995,DEC_ORD_3E
263,3E,10739,DEC,4042,STL,3678,,0,CNC,0.6431385370968897,DEC_STL_3E
264,3E,10739,JBR,3591,STL,3678,,0,CNC,1.3701737432323084,JBR_STL_3E
265,3E,10739,ORD,3830,BRL,5726,,0,CNC,0.546767573006186,ORD_BRL_3E
266,3E,10739,ORD,3830,DEC,4042,,0,CNC,0.30582496595067726,ORD_DEC_3E
267,3E,10739,STL,3678,BRL,5726,,0,CNC,3.748219914427572,STL_BRL_3E
268,3E,10739,STL,3678,DEC,4042,,0,CNC,1.6548359914959958,STL_DEC_3E
269,3E,10739,STL,3678,JBR,3591,,0,CNC,2.8732273012232445,STL_JBR_3E
280,3F,16262,KTN,3808,MTM,7146,,0,DHP,1.8737423413536058,KTN_MTM_3F
281,3F,16262,MTM,7146,KTN,3808,,0,DHP,1.8737423413536058,MTM_KTN_3F
443,3M,20710,ATL,3682,LWB,6958,,0,SF3,2.5511955349833415,ATL_LWB_3M
444,3M,20710,ATL,3682,MCN,3754,,0,SF3,2.2667460863460605,ATL_MCN_3M
445,3M,20710,ATL,3682,MEI,4335,,0,SF3,3.785606764308555,ATL_MEI_3M
446,3M,20710,ATL,3682,MSL,5756,,0,SF3,1.7203108353418963,ATL_MSL_3M
447,3M,20710,ATL,3682,PIB,5759,,0,SF3,0.9914618433283297,ATL_PIB_3M
448,3M,20710,ATL,3682,TUP,5773,,0,SF3,2.817332815391097,ATL_TUP_3M
452,3M,20710,EYW,3875,FLL,3533,,0,SF3,3.479722081602122,EYW_FLL_3M
453,3M,20710,EYW,3875,RSW,3793,,0,SF3,2.9186507822715204,EYW_RSW_3M
454,3M,20710,EYW,3875,TPA,3646,,0,SF3,3.1104412669217907,EYW_TPA_3M
457,3M,20710,FLL,3533,EYW,3875,,0,SF3,1.0041711848863706,FLL_EYW_3M
461,3M,20710,FLL,3533,MCO,3878,,0,SF3,2.4238156884421516,FLL_MCO_3M
464,3M,20710,FLL,3533,TPA,3646,,0,SF3,0.4443679765996962,FLL_TPA_3M
469,3M,20710,GLH,6130,TUP,5773,,0,SF3,3.358238993004842,GLH_TUP_3M
470,3M,20710,GNV,3472,MCO,3878,,0,SF3,0.8365701278323429,GNV_MCO_3M
471,3M,20710,GNV,3472,TPA,3646,,0,SF3,2.5511955349833415,GNV_TPA_3M
473,3M,20710,JAX,3712,TPA,3646,,0,SF3,4.746519669825276,JAX_TPA_3M
474,3M,20710,LWB,6958,ATL,3682,,0,SF3,3.785606764308555,LWB_ATL_3M
475,3M,20710,MCN,3754,ATL,3682,,0,SF3,1.7203108353418963,MCN_ATL_3M
476,3M,20710,MCN,3754,MCO,3878,,0,SF3,2.5570799984497987,MCN_MCO_3M
477,3M,20710,MCO,3878,FLL,3533,,0,SF3,1.6834638493704734,MCO_FLL_3M
478,3M,20710,MCO,3878,GNV,3472,,0,SF3,3.358238993004842,MCO_GNV_3M
